20528,372
21040,371
20872,411
20904,399
20568,392
20472,384
20568,381
20512,377
20536,385
20456,379
20584,379
20544,382
20872,385
20768,388
20600,388
20696,383
20736,389
20448,383
20504,395
20648,395
20896,387
20760,391
20744,392
20960,382
21136,389
21080,392
20952,387
21016,377
20968,375
21328,385
23776,373
21056,374
20568,366
20536,353
20544,349
20648,352
20776,350
21368,342
20776,339
20872,348
20744,340
20520,334
20440,329
21016,328
20536,339
20600,340
20968,333
21328,336
20520,339
20616,332
23288,349
20656,345
20920,343
20632,341
20568,350
20808,356
20864,349
20472,349
20704,346
20928,348
20944,342
20856,340
21072,342
20816,354
20776,357
21144,353
21216,354
22744,360
20648,359
20952,359
20856,369
21920,370
20920,370
20848,367
20464,368
20568,368
20848,370
20640,369
20496,370
20576,371
20600,368
20656,370
20976,366
20608,369
20840,369
20640,371
20544,367
20728,370
20856,366
20360,368
20800,365
20920,366
21056,362
20920,366
20912,363
20880,363
20504,360
20920,361
20784,359
22112,357
20896,355
20944,357
21056,357
20400,355
21000,354
20960,351
20488,352
20544,352
20416,348
20496,350
20520,348
20456,351
20816,346
20928,351
20504,348
20952,348
20920,345
21408,352
20976,349
20848,348
20512,345
20992,346
20544,345
20672,348
20792,347
20584,350
20672,348
20800,350
20872,347
20536,353
20720,351
21136,352
20736,352
20912,359
21008,357
21608,355
20776,353
20768,354
20496,350
20840,349
20752,345
20664,346
20632,344
20768,347
20704,346
20680,348
20976,347
21072,347
20768,349
21120,353
20744,352
20872,356
20576,355
20568,357
6968,356
20552,357
22152,356
20600,356
20616,358
20632,358
20744,356
21144,357
21168,360
20520,358
20768,362
21064,360
20768,361
20960,362
20720,363
20488,361
20664,362
20944,361
21224,364
22320,361
22376,362
20904,363
20576,361
20568,360
23824,357
20688,360
20792,358
22136,356
20592,355
20624,359
20696,356
21080,358
20536,357
20736,360
20720,357
21392,358
20424,357
20672,357
21296,356
20824,359
20584,357
20896,359
20552,358
20968,357
20728,359
20560,362
20672,361
23992,360
20552,364
20528,363
20792,365
20600,365
20720,367
20848,364
20552,366
22648,366
20520,371
20512,370
20672,374
20568,374
5568,378
20752,377
20904,381
21280,383
20736,385
20480,386
22448,386
22384,391
20528,387
20464,391
20560,389
3456,392
21440,393
20536,392
20536,393
20624,392
20616,390
20880,389
